URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/GEM-ERP-PR-Medication,StructureDefinition/GEM-ERPEU-PR-Medication","SCT"
http://hl7.org/fhir/ValueSet/medication-form-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.374",SNOMEDCTFormCodes,SNOMED CT Form Codes,"This value set includes all dose form codes from SNOMED CT - provided as an exemplar.","StructureDefinition/GEM-ERP-PR-Medication,StructureDefinition/GEM-ERPEU-PR-Medication","SCT"
http://hl7.org/fhir/ValueSet/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.376",Medication Status Codes,Medication  status  codes,"Medication Status Codes","StructureDefinition/GEM-ERP-PR-Medication,StructureDefinition/GEM-ERPEU-PR-Medication","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationdispense-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.1318",MedicationDispense Performer Function Codes,Medication dispense  performer  function  codes,"MedicationDispense Performer Function Codes","StructureDefinition/GEM-ERPEU-PR-MedicationDispense,StructureDefinition/GEM-ERP-PR-MedicationDispense","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1316",MedicationDispense Status Reason Codes,Medication dispense  status  reason  codes,"MedicationDispense Status Codes","StructureDefinition/GEM-ERPEU-PR-MedicationDispense,StructureDefinition/GEM-ERP-PR-MedicationDispense","THO"
http://hl7.org/fhir/ValueSet/mimetypes,4.0.1,active,"2.16.840.1.113883.4.642.3.1024",Mime Types,MimeType,"This value set includes all possible codes from BCP-13 (http://tools.ietf.org/html/bcp13)","StructureDefinition/GEM-ERPEU-PR-Practitioner","Other"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/GEM-ERPEU-PR-Organization,StructureDefinition/GEM-ERPEU-PR-Practitioner","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/GEM-ERPEU-PR-Organization","THO"
http://hl7.org/fhir/ValueSet/performer-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.433",ProcedurePerformerRoleCodes,Procedure Performer Role Codes,"This example value set defines the set of codes that can be used to indicate a role of a procedure performer.","StructureDefinition/GEM-ERP-PR-Task","SCT"
http://hl7.org/fhir/ValueSet/practitioner-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.439",PractitionerRole,Practitioner role,"This example value set defines a set of codes that can be used to indicate the role of a Practitioner.","StructureDefinition/GEM-ERPEU-PR-PractitionerRole","SCT,THO"
http://hl7.org/fhir/ValueSet/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/GEM-ERPEU-PR-MedicationDispense,StructureDefinition/GEM-ERP-PR-Medication,StructureDefinition/GEM-ERPEU-PR-Medication","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,Request priority,"The clinical priority of a diagnostic order.","StructureDefinition/GEM-ERP-PR-Communication-Reply,StructureDefinition/GEM-ERP-PR-Communication-DispReq,StructureDefinition/GEM-ERP-PR-Communication,StructureDefinition/GEM-ERP-PR-Task","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/GEM-ERPEU-PR-PractitionerRole,StructureDefinition/GEM-ERP-PR-Communication-Reply,StructureDefinition/GEM-ERPEU-PR-MedicationDispense,StructureDefinition/GEM-ERP-PR-Communication-DispReq,StructureDefinition/GEM-ERPEU-PR-Organization,StructureDefinition/GEM-ERP-PR-Communication,StructureDefinition/GEM-ERP-PR-MedicationDispense,StructureDefinition/GEM-ERPEU-PR-Practitioner,StructureDefinition/GEM-ERP-PR-Medication,StructureDefinition/GEM-ERPEU-PR-Consent,StructureDefinition/GEM-ERPEU-PR-Medication,StructureDefinition/GEM-ERP-PR-Task","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.3.622",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","StructureDefinition/GEM-ERP-PR-Bundle-OP-Accept","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/GEM-ERP-PR-Bundle-OP-Accept,StructureDefinition/GEM-ERPEU-PR-Organization,StructureDefinition/GEM-ERP-PR-Communication,StructureDefinition/GEM-ERP-PR-Medication,StructureDefinition/GEM-ERPEU-PR-Consent,StructureDefinition/GEM-ERP-PR-Task,StructureDefinition/GEM-ERPEU-PR-Medication,StructureDefinition/GEM-ERP-PR-Communication-Reply,StructureDefinition/GEM-ERPEU-PR-PractitionerRole,StructureDefinition/GEM-ERPEU-PR-MedicationDispense,StructureDefinition/GEM-ERP-PR-Communication-DispReq,StructureDefinition/GEM-ERP-PR-MedicationDispense,StructureDefinition/GEM-ERPEU-PR-Practitioner",
