"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping for EU DispenseData to EU-MedicationDispense","Mapping: Mapping for EU MedicationData to GEM_ERPEU_PR_Medication","Mapping: Mapping for EU DispenseData to EU-Organization","Mapping: Mapping for EU DispenseData to EU-Practitioner","Mapping: RIM Mapping"
"logical-eu-dispense-data.OrganizationData.OrganizationIdentifier","logical-eu-dispense-data.OrganizationData.OrganizationIdentifier","","","",1,1,"","","","Identifier {[]} {[]}
","Organization Identifier","The identification of the healthcare provider organization of the HP dispensing the medicine.","ehdsi-dataelement-285 Organization Identifier. (Achtung wir werden vermutlich im neu erstellten EU Profil sowohl die Möglichkeit einen Facility als auch einen Organisation Identifier abzubilden - FHIR Grundprofil lässt dies zu)","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.OrganizationIdentifier",1,1,"","","Organization.identifier"
"logical-eu-dispense-data.OrganizationData.OrganizationName","logical-eu-dispense-data.OrganizationData.OrganizationName","","","",1,1,"","","","string {[]} {[]}
","Organization Name","The name of the healthcare provider organization of the HP dispensing the medicine.","ehdsi-dataelement-286 Organization Name. Der Name der Organisation, die die Medikation abgibt wird aus dem dargestellten CDA Feld unter der angegebenen Element Ids des Profils GEM_ERPEU_PR_Organization eingetragen. (Achtung: HL7 Grundprofil lässt nur einen Organisationsnamen zu deshalb diesen und nicht Facility name gewählt)","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.OrganizationName",1,1,"","","Organization.name"
"logical-eu-dispense-data.OrganizationData.StreetAddress","logical-eu-dispense-data.OrganizationData.StreetAddress","","","",1,1,"","","","string {[]} {[]}
","Street address","The street of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-293 Street address. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.StreetAddress",1,1,"","","Organization.address.line"
"logical-eu-dispense-data.OrganizationData.City","logical-eu-dispense-data.OrganizationData.City","","","",1,1,"","","","string {[]} {[]}
","City","The city of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-292 City. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.City",1,1,"","","Organization.address.city"
"logical-eu-dispense-data.OrganizationData.ZipOrPostalCode","logical-eu-dispense-data.OrganizationData.ZipOrPostalCode","","","",1,1,"","","","string {[]} {[]}
","Zip or Postal Code","The postal code of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-291 Zip or Postal Code. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.ZipOrPostalCode",1,1,"","","Organization.address.postalCode"
"logical-eu-dispense-data.OrganizationData.StateOrProvince","logical-eu-dispense-data.OrganizationData.StateOrProvince","","","",1,1,"","","","string {[]} {[]}
","State or Province","The province of the place from where the HP is dispensing the medicine.","ehdsi-dataelement-290 State or Province. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.StateOrProvince",1,1,"","","Organization.address.state"
"logical-eu-dispense-data.OrganizationData.Country","logical-eu-dispense-data.OrganizationData.Country","","","",1,1,"","","","string {[]} {[]}
","Country","The country where the pharmacy is located.","ehdsi-dataelement-289 Country. Angabe aus dem dargestellten CDA Feld wird unter der angegebenen Element ID des FHIR Profils GEM_ERPEU_PR_Organization eingetragen.","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.OrganizationData.Country",1,1,"","","Organization.address.country"
"logical-eu-dispense-data.DispenseData","logical-eu-dispense-data.DispenseData","","","",1,*,"","","","BackboneElement {[]} {[]}
","Dispense Data","Dispense Data","","","","","","","","","",,,,,"",,,,"logical-eu-dispense-data.DispenseData",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","GEM_ERPEU_PR_MedicationDispense","GEM_ERPEU_PR_MedicationDispense"
"logical-eu-dispense-data.DispenseData.id","logical-eu-dispense-data.DispenseData.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"logical-eu-dispense-data.DispenseData.extension","logical-eu-dispense-data.DispenseData.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
